name,location,address1,city,state,zip,full_address
Dollar Tree #7282,Frmr True Value Hardware,1112 Lowry Avenue,Jeannette,PA,15644,"1112 Lowry Avenue Jeannette, PA 15644"
Dollar Tree #4537,Shoppes at The Pavilion,323 Old York Road Suite C,Jenkintown,PA,19046,"323 Old York Road Suite C Jenkintown, PA 19046"
Dollar Tree #6732,Westwood Plaza,1910 Minno Dr. #A Suite 1A,Johnstown,PA,15905,"1910 Minno Dr. #A Suite 1A Johnstown, PA 15905"
Dollar Tree #2904,Richland Town Centre,200 Town Centre Drive,Johnstown,PA,15904,"200 Town Centre Drive Johnstown, PA 15904"
Dollar Tree #560,Hilltop Plz,9 Hilltop Plaza #11,Kittanning,PA,16201,"9 Hilltop Plaza #11 Kittanning, PA 16201"
Dollar Tree #2361,Village Square,45 Constitution Blvd,Kutztown,PA,19530,"45 Constitution Blvd Kutztown, PA 19530"
Dollar Tree #1660,Golden Triangle Shopping Cente,1280 Lititz Pike.,Lancaster,PA,17601,"1280 Lititz Pike. Lancaster, PA 17601"
Dollar Tree #4563,Regency Square,165 Rohrerstown Rd,Lancaster,PA,17603,"165 Rohrerstown Rd Lancaster, PA 17603"
Dollar Tree #1597,East Town Center,2090 Lincoln Highway E.. #C,Lancaster,PA,17602,"2090 Lincoln Highway E.. #C Lancaster, PA 17602"
Dollar Tree #7030,Quality Center,2495 Lincoln Highway East,Lancaster,PA,17601,"2495 Lincoln Highway East Lancaster, PA 17601"
Dollar Tree #7358,Parkview Plaza,862 Plaza Blvd,Lancaster,PA,17601,"862 Plaza Blvd Lancaster, PA 17601"
Dollar Tree #1617,Lansdale Pavilion,557 S. Broad Street,Lansdale,PA,19446,"557 S. Broad Street Lansdale, PA 19446"
Dollar Tree #2250,Lansdowne,39 N. Lansdowne Ave. Suite 45,Lansdowne,PA,19050,"39 N. Lansdowne Ave. Suite 45 Lansdowne, PA 19050"
Dollar Tree #2200,Mountain Laurel Plaza,302 Mountain Laurel Plz,Latrobe,PA,15650,"302 Mountain Laurel Plz Latrobe, PA 15650"
Dollar Tree #3071,Lebanon Plaza,1201 Quentin Rd.. #8,Lebanon,PA,17042,"1201 Quentin Rd.. #8 Lebanon, PA 17042"
Dollar Tree #458,Plaza 422,833 E Walnut St.. Rt 422,Lebanon,PA,17042,"833 E Walnut St.. Rt 422 Lebanon, PA 17042"
Dollar Tree #5033,Quaker Village,8 Quaker Village Shopping Ctr,Leetsdale,PA,15056,"8 Quaker Village Shopping Ctr Leetsdale, PA 15056"
Dollar Tree #7152,Carbon Plaza,1241 Blakeslee Blvd.,Lehighton,PA,18235,"1241 Blakeslee Blvd. Lehighton, PA 18235"
Dollar Tree #945,West Shore Plaza,1200 Market Street,Lemoyne,PA,17043,"1200 Market Street Lemoyne, PA 17043"
Dollar Tree #1621,Langhorne Square Shopping Cent,1307 Lincoln Hwy,Levittown,PA,19056,"1307 Lincoln Hwy Levittown, PA 19056"
Dollar Tree #4048,Levittown Town Center,157 Levittown Pkwy,Levittown,PA,19055,"157 Levittown Pkwy Levittown, PA 19055"
Dollar Tree #5523,Levittown,4595 New Falls Rd,Levittown,PA,19056,"4595 New Falls Rd Levittown, PA 19056"
Dollar Tree #3832,Silver Moon Plaza,135 AJK Blvd.,Lewisburg,PA,17837,"135 AJK Blvd. Lewisburg, PA 17837"
Dollar Tree #2337,Wal Mart Supercenter,46 Super Center,Lewistown,PA,17044,"46 Super Center Lewistown, PA 17044"
Dollar Tree #6671,Parketown Plaza,301 N Lewis Road Suite #95,Limerick,PA,19468,"301 N Lewis Road Suite #95 Limerick, PA 19468"
Dollar Tree #5155,Limerick,447 Ridge Pike,Limerick,PA,19468,"447 Ridge Pike Limerick, PA 19468"
Dollar Tree #6296,Fmr Save A Lot,125 Logans Ferry Road,Lower Burrell,PA,15068,"125 Logans Ferry Road Lower Burrell, PA 15068"
Dollar Tree #869,Lower Burrell Shopping Center,60 Burrell Plaza,Lower Burrell,PA,15068,"60 Burrell Plaza Lower Burrell, PA 15068"
Dollar Tree #3978,Manchester Plaza,225 Glen Drive,Manchester,PA,17345,"225 Glen Drive Manchester, PA 17345"
Dollar Tree #7730,Penn Town Center,1223 Lancaster Rd Suite 110,Manheim,PA,17545,"1223 Lancaster Rd Suite 110 Manheim, PA 17545"
Dollar Tree #7036,Freestanding Dollar Tree,1446 S Main Street..,Mansfield,PA,16933,"1446 S Main Street.. Mansfield, PA 16933"
Dollar Tree #4548,Westfall Town Center,111 Hulst Dr. Ste #709,Matamoras,PA,18336,"111 Hulst Dr. Ste #709 Matamoras, PA 18336"
Dollar Tree #4501,Olympia Shopping Center,4313 Walnut St Ste. # 10,McKeesport,PA,15132,"4313 Walnut St Ste. # 10 McKeesport, PA 15132"
Dollar Tree #1060,McDowell Shoppes,4043 Washington Rd,McMurray,PA,15317,"4043 Washington Rd McMurray, PA 15317"
Dollar Tree #7464,Tower Center,1121 Park Avenue,Meadville,PA,16335,"1121 Park Avenue Meadville, PA 16335"
Dollar Tree #942,Meadville Plaza,16039 Conneaut Lake Rd. Ste 101,Meadville,PA,16335,"16039 Conneaut Lake Rd. Ste 101 Meadville, PA 16335"
Dollar Tree #6335,Former Dollar General,2 Gettysburg Pike,Mechanicsburg,PA,17050,"2 Gettysburg Pike Mechanicsburg, PA 17050"
Dollar Tree #1716,Hamden Centre,4860 Carlisle Pike,Mechanicsburg,PA,17050,"4860 Carlisle Pike Mechanicsburg, PA 17050"
Dollar Tree #4904,Media,5110 Pennell Rd,Media,PA,19063,"5110 Pennell Rd Media, PA 19063"
Dollar Tree #2256,Midtown Plaza,434 East Main St.,Middletown,PA,17057,"434 East Main St. Middletown, PA 17057"
Dollar Tree #6858,Buffalo Valley,313 E Chestnut St.,Mifflinburg,PA,17844,"313 E Chestnut St. Mifflinburg, PA 17844"
Dollar Tree #5247,Dollar Tree Plaza,212 Hogan Blvd.,Mill Hall,PA,17751,"212 Hogan Blvd. Mill Hall, PA 17751"
Dollar Tree #2493,Dollar Tree,100 Golfview Drive,Monaca,PA,15061,"100 Golfview Drive Monaca, PA 15061"
Dollar Tree #6413,Monroeville Plaza,4680 Old William Penn Highway,Monroeville,PA,15146,"4680 Old William Penn Highway Monroeville, PA 15146"
Dollar Tree #4702,Birney Mall,3409 Birney Ave Unit 3,Moosic,PA,18507,"3409 Birney Ave Unit 3 Moosic, PA 18507"
Dollar Tree #1602,Morrisville Shopping Center,1 E Trenton Avenue Suite #21,Morrisville,PA,19067,"1 E Trenton Avenue Suite #21 Morrisville, PA 19067"
Dollar Tree #4412,Main Street Center,783 E Main St,Mount Joy,PA,17552,"783 E Main St Mount Joy, PA 17552"
Dollar Tree #5643,Country Side Plaza,348 Country Side Plaza,Mt. Pleasant,PA,15666,"348 Country Side Plaza Mt. Pleasant, PA 15666"
