name,address1,city,state,zip,full_address,g_lat,g_lon,g_country,g_state,g_county,g_city,g_postcode,g_street,g_number,g_confidence,g_formatted,g_quality
Dollar General # 7600,3785 Zimmerman Rd,Erie,PA,16510,"3785 Zimmerman Rd Erie, PA 16510",42.1186368,-80.0262415,USA,Pennsylvania,Erie County,Erie,16510,Zimmerman Road,,8,"Zimmerman Road, Erie, PA 16510, United States of America",street
Dollar General # 15290,404 East 26th St.,Erie,PA,16503,"404 East 26th St. Erie, PA 16503",42.1152325,-80.0647754,USA,Pennsylvania,Erie County,Erie,16504,East 26th Street,404,10,"404 East 26th Street, Erie, PA 16504, United States of America",number
Dollar General # 270,1700 Peach St,Erie,PA,16501,"1700 Peach St Erie, PA 16501",42.118721,-80.079914,USA,Pennsylvania,Erie County,Erie,16501,Peach Street,1700,10,"1700 Peach Street, Erie, PA 16501, United States of America",number
Dollar General # 7151,824 State St,Erie,PA,16501,"824 State St Erie, PA 16501",42.1271428,-80.0838396,USA,Pennsylvania,Erie County,Erie,16501,State Street,824,10,"824 State Street, Erie, PA 16501, United States of America",number
Dollar General # 18692,8990 Route 6,Kane,PA,16735,"8990 Route 6 Kane, PA 16735",41.69001,-78.870986,United States of America,Pennsylvania,,Kane,,Old Rte 6,,6,"Old Rte 6, Kane, PA, United States of America",street
Dollar General # 1335,714 East Ave,Erie,PA,16503,"714 East Ave Erie, PA 16503",42.136224,-80.06219400000001,USA,Pennsylvania,Erie County,Erie,16503,East Avenue,714,10,"714 East Avenue, Erie, PA 16503, United States of America",number
Dollar General # 4826,4669 Buffalo Rd,Erie,PA,16510,"4669 Buffalo Rd Erie, PA 16510",42.1491864,-79.9967102,USA,Pennsylvania,Erie County,Harborcreek Township,16510,Buffalo Road,4669,10,"4669 Buffalo Road, Harborcreek Township, PA 16510, United States of America",number
Dollar General # 14210,4682 E Lake Rd,Erie,PA,16511,"4682 E Lake Rd Erie, PA 16511",42.1648596,-80.0070721,USA,Pennsylvania,Erie County,Harborcreek Township,16511,East Lake Road,4682,10,"4682 East Lake Road, Harborcreek Township, PA 16511, United States of America",number
Dollar General # 7108,10670 W Main Rd,North East,PA,16428,"10670 W Main Rd North East, PA 16428",42.210269,-79.850093,United States of America,Pennsylvania,,North East,,W Main Rd,,8,"W Main Rd, North East, PA, United States of America",street
Dollar General # 18148,980 South Ave,Bradford,PA,16701,"980 South Ave Bradford, PA 16701",41.908141,-78.6514193,USA,Pennsylvania,McKean County,Bradford Township,16725,South Avenue,980,10,"980 South Avenue, Bradford Township, PA 16725, United States of America",number
Dollar General # 4308,114 Boylston St,Bradford,PA,16701,"114 Boylston St Bradford, PA 16701",41.9570651,-78.6464541,USA,Pennsylvania,McKean County,Bradford,16701,Boylston Street,114,10,"114 Boylston Street, Bradford, PA 16701, United States of America",number
Dollar General # 8455,86 S Marvin St,Smethport,PA,16749,"86 S Marvin St Smethport, PA 16749",41.8083788,-78.4518975,USA,Pennsylvania,McKean County,Smethport,16749,Marvin Street,86,10,"86 Marvin Street, Smethport, PA 16749, United States of America",number
Dollar General # 504,209 Sizerville Rd,Emporium,PA,15834,"209 Sizerville Rd Emporium, PA 15834",41.5083,-78.220136,United States of America,Pennsylvania,,Emporium,,Sizerville Rd,,8,"Sizerville Rd, Emporium, PA, United States of America",street
Dollar General # 2993,1034 E Main St,Bradford,PA,16701,"1034 E Main St Bradford, PA 16701",41.961157,-78.634322,USA,Pennsylvania,McKean County,Bradford,16701,East Main Street,,8,"East Main Street, Bradford, PA 16701, United States of America",street
Dollar General # 5820,644 E Sycamore Rd,Snow Shoe,PA,16874,"644 E Sycamore Rd Snow Shoe, PA 16874",41.026811,-77.91627699999999,USA,Pennsylvania,Centre County,Snow Shoe,16874,East Sycamore Road,,7,"East Sycamore Road, Snow Shoe, PA 16874, United States of America",street
Dollar General # 6323,517 Dell St,Bellefonte,PA,16823,"517 Dell St Bellefonte, PA 16823",40.947436,-77.79413700000001,United States of America,Pennsylvania,,Bellefonte,,Dell St,517,10,"517 Dell St, Bellefonte, PA, United States of America",number
Dollar General # 2263,141 S Spring St,Bellefonte,PA,16823,"141 S Spring St Bellefonte, PA 16823",40.910468,-77.77957290000001,USA,Pennsylvania,Centre County,Bellefonte,16823,South Spring Street,141,10,"Dollar General, 141 South Spring Street, Bellefonte, PA 16823, United States of America",number
Dollar General # 16173,206 Cobblestone Road,Bellefonte,PA,16823,"206 Cobblestone Road Bellefonte, PA 16823",40.850476,-77.596181,United States of America,Pennsylvania,,Spring Mills,,Cobblestone Ct,,5,"Cobblestone Ct, Spring Mills, PA, United States of America",street
Dollar General # 10082,421 S Pennsylvania Ave,Centre Hall,PA,16828,"421 S Pennsylvania Ave Centre Hall, PA 16828",40.839242,-77.677395,USA,Pennsylvania,Centre County,Centre Hall,16828,South Pennsylvania Avenue,421,10,"421 South Pennsylvania Avenue, Centre Hall, PA 16828, United States of America",number
Dollar General # 11234,13635 Renovo Rd,Renovo,PA,17764,"13635 Renovo Rd Renovo, PA 17764",41.3258566,-77.7644071,USA,Pennsylvania,Clinton County,Renovo,17764,Renovo Road,,9,"Renovo Road, Renovo, PA 17764, United States of America",street
Dollar General # 9249,4514 E Main St,Belleville,PA,17004,"4514 E Main St Belleville, PA 17004",40.6117257,-77.708122,USA,Pennsylvania,Mifflin County,,17004,State Route 655,4514,10,"4514 State Route 655, Belleville, PA 17004, United States of America",number
Dollar General # 14818,455 Eagle Valley Rd,Beech Creek,PA,16822,"455 Eagle Valley Rd Beech Creek, PA 16822",41.0757107,-77.57510859999999,USA,Pennsylvania,Clinton County,Beech Creek,16822,Eagle Valley Road,455,10,"455 Eagle Valley Road, Beech Creek, PA 16822, United States of America",number
Dollar General # 15767,22 South River Road,Mc Veytown,PA,17051,"22 South River Road Mc Veytown, PA 17051",40.446821,-77.760131,United States of America,Pennsylvania,,McVeytown,,S River Rd,,9,"S River Rd, McVeytown, PA, United States of America",street
Dollar General # 9586,15 Commerce Dr Ste A,Milroy,PA,17063,"15 Commerce Dr Ste A Milroy, PA 17063",40.241204,-77.041411,United States of America,Pennsylvania,,Mechanicsburg,,Commerce Dr,,8,"Commerce Dr, Mechanicsburg, PA, United States of America",street
Dollar General # 18186,20 Caplan Way,Mill Hall,PA,17751,"20 Caplan Way Mill Hall, PA 17751",41.071123,-77.476304,United States of America,Pennsylvania,,Mill Hall,,,,6,"Mill Hall, PA, United States of America",city
Dollar General # 8526,400 N Logan Blvd,Burnham,PA,17009,"400 N Logan Blvd Burnham, PA 17009",40.6325358,-77.5707043,USA,Pennsylvania,Mifflin County,Burnham,17009,North Logan Boulevard,400,10,"400 North Logan Boulevard, Burnham, PA 17009, United States of America",number
Dollar General # 673,202 S Dorcas St,Lewistown,PA,17044,"202 S Dorcas St Lewistown, PA 17044",40.5961738,-77.5694846,USA,Pennsylvania,Mifflin County,Lewistown,17044,South Dorcas Street,202,10,"202 South Dorcas Street, Lewistown, PA 17044, United States of America",number
Dollar General # 7767,5 Millbrook Plz,Mill Hall,PA,17751,"5 Millbrook Plz Mill Hall, PA 17751",41.071123,-77.476304,United States of America,Pennsylvania,,Mill Hall,,,,6,"Mill Hall, PA, United States of America",city
Dollar General # 3320,16 E Main St,Lock Haven,PA,17745,"16 E Main St Lock Haven, PA 17745",41.1371196,-77.4461846,USA,Pennsylvania,Clinton County,Lock Haven,17745,East Main Street,16,10,"16 East Main Street, Lock Haven, PA 17745, United States of America",number
Dollar General # 10716,502 N Main St,Port Allegany,PA,16743,"502 N Main St Port Allegany, PA 16743",41.8174453,-78.28489159999999,USA,Pennsylvania,McKean County,Port Allegany,16743,North Main Street,502,10,"502 North Main Street, Port Allegany, PA 16743, United States of America",number
Dollar General # 7921,102 West Chestnut Street,Coudersport,PA,16915,"102 West Chestnut Street Coudersport, PA 16915",41.769719,-78.023219,United States of America,Pennsylvania,,Coudersport,,Chestnut St,,8,"Chestnut St, Coudersport, PA, United States of America",street
