Store_Number,,Address,City,State_Zip
Family Dollar #2582,,404 S Main St,Wilkes-Barre, PA 18701 US
Family Dollar #1299,,665 Carey Ave,Wilkes Barre, PA 18702 US
Family Dollar #2582,,404 S Main St,Wilkes-Barre, PA 18701 US
Family Dollar #11688,,1200 Swissvale Avenue,Wilkinsburg, PA 15221 US
Family Dollar #3675,,7627 Penn Ave,Wilkinsburg, PA 15221 US
Family Dollar #1811,,2016 Lycoming Creek Road,Williamsport, PA 17701 US
Family Dollar #1891,,328 Memorial Ave,Williamsport, PA 17701 US
Family Dollar #8899,,1221 W 4th Street,Williamsport, PA 17701 US
Family Dollar #11893,,2423 Butler Street,Wilson, PA 18042 US
Family Dollar #7312,,1192 W Penn Ave,Womelsdorf, PA 19567 US
Family Dollar #2419,,579 Maryland Avenue,York, PA 17404 US
Family Dollar #10961,,70 Railroad Street,Youngsville, PA 16371 US
Family Dollar #2233,Providence Village,515 North Oak Avenue,Aldan, PA 19018 US
Family Dollar #1952,Aliquippa Shopping Center,2719 Brodhead Rd,Aliquippa, PA 15001 US
Family Dollar #2455,Allentown Shopping Plaza,1360 Hanover Ave,Allentown, PA 18109 US
Family Dollar #3155,Airport Plaza,1200 Airport Rd,Allentown, PA 18103 US
Family Dollar #3847,Parkway Shp Ctr,1571 Lehigh St,Allentown, PA 18103 US
Family Dollar #8086,Allen Street Shopping Center,1431 W Allen St.,Allentown, PA 18102 US
Family Dollar #2681,Ivyside Plaza,501 E 25th Ave,Altoona, PA 16601 US
Family Dollar #4970,58th Street Plaza,5901 6th Ave,Altoona, PA 16602 US
Family Dollar #2884,Village Green Shp Ctr,3464 Concord Rd,Aston, PA 19014 US
Family Dollar #3440,Eckerd Plaza,101 Railroad St,Bedford, PA 15522 US
Family Dollar #2811,Bethlehem Shopping Center,2910 Easton Ave,Bethlehem, PA 18017 US
Family Dollar #8074,Willowbrook Shopping Center,3290 Chichester Ave.,Boothwyn, PA 19061 US
Family Dollar #824,Braddock Hills Shopping Center,1500 Yost Boulevard,Braddock Hills, PA 15221 US
Family Dollar #2464,Union Square,32 Davis St,Bradford, PA 16701 US
Family Dollar #4262,Pullman Square Shopping Center,120 Pullman Sq,Butler, PA 16001 US
Family Dollar #3164,West Pike Plaza,594 W Pike St,Canonsburg, PA 15317 US
Family Dollar #6751,Southgate Shp Ctr,221 Southgate Mall,Chambersburg, PA 17201 US
Family Dollar #4529,Caln Plaza,1843 E Lincoln Hwy,Coatesville, PA 19320 US
Family Dollar #1680,Columbia Shopping Center (Anne,24 S 18th St,Columbia, PA 17512 US
Family Dollar #3074,Connellsville Plaza,208 Memorial Blvd,Connellsville, PA 15425 US
Family Dollar #2784,Corry Plaza,128 W Smith St,Corry, PA 16407 US
Family Dollar #2104,Main Street Mall,100 North Main Street,Du Bois, PA 15801 US
Family Dollar #1821,Hollidaysburg Plaza Shopping C,118 Hollidaysburg Plz,Duncansville, PA 16635 US
Family Dollar #8526,4545 Milford Road, Suite 150,East Stroudsburg, PA 18302 US
Family Dollar #3293,Elizabethtown Commons,1575 S Market St,Elizabethtown, PA 17022 US
Family Dollar #3801,Northstar Plaza,227 State Route 288,Ellwood City, PA 16117 US
Family Dollar #989,Cloister Shopping Center,130 N Reading Rd,Ephrata, PA 17522 US
Family Dollar #1760,Commodore Perry Plaza,2226 Broad St,Erie, PA 16503 US
Family Dollar #3529,Tops Plaza,1530 W 26th St Unit D-E,Erie, PA 16508 US
Family Dollar #3779,East Erie Plaza,856 E 6th St,Erie, PA 16507 US
Family Dollar #3437,Greensburg Shopping Ctr,400 E Pittsburgh St,Greensburg, PA 15601 US
Family Dollar #3545,York Mini-Mall,398 York St,Hanover, PA 17331 US
Family Dollar #1059,Kline Village Shopping Center,134 Kline Village,Harrisburg, PA 17104 US
Family Dollar #3369,Church Hill Mall,1075 N Church St,Hazle Township, PA 18202 US
Family Dollar #2439,Johnsonburg Plaza,438 Wilcox Road,Johnsonburg, PA 15845 US
Family Dollar #5083,Benscreek Shopping Ctr,133 Tire Hill Rd,Johnstown, PA 15905 US
Family Dollar #815,Richland Plaza,1227 Scalp Avenue,Johnstown, PA 15904 US
Family Dollar #7712,Hyde Park Plaza,451 Hyde Park Road,Leechburg, PA 15656 US
Family Dollar #2155,Greencastle Center,410 West King Street,Littlestown, PA 17340 US
Family Dollar #3157,Luzerne Shopping Center,562 Union St,Luzerne, PA 18709 US
Family Dollar #3225,Southgate Plaza,662 Main St,Lykens, PA 17048 US
Family Dollar #988,Penn Village Shp Ctr,182 Buchanan Trl Ste 165,Mcconnellsburg, PA 17233 US
Family Dollar #775,Mckees Rocks Plaza Shopping Ce,152 Mc Kees Rocks Plz,Mc Kees Rocks, PA 15136 US
Family Dollar #2284,Juniata Valley Shopping Center,4048 William Penn Hwy,Mifflintown, PA 17059 US
